img_path,gt_path,edge_path
Imgs/COD10K-CAM-1-Aquatic-1-BatFish-1.jpg,GT/COD10K-CAM-1-Aquatic-1-BatFish-1.png,Edge/COD10K-CAM-1-Aquatic-1-BatFish-1.png
Imgs/COD10K-CAM-1-Aquatic-1-BatFish-3.jpg,GT/COD10K-CAM-1-Aquatic-1-BatFish-3.png,Edge/COD10K-CAM-1-Aquatic-1-BatFish-3.png
Imgs/COD10K-CAM-1-Aquatic-1-BatFish-7.jpg,GT/COD10K-CAM-1-Aquatic-1-BatFish-7.png,Edge/COD10K-CAM-1-Aquatic-1-BatFish-7.png
Imgs/COD10K-CAM-1-Aquatic-1-BatFish-8.jpg,GT/COD10K-CAM-1-Aquatic-1-BatFish-8.png,Edge/COD10K-CAM-1-Aquatic-1-BatFish-8.png
Imgs/COD10K-CAM-1-Aquatic-1-BatFish-9.jpg,GT/COD10K-CAM-1-Aquatic-1-BatFish-9.png,Edge/COD10K-CAM-1-Aquatic-1-BatFish-9.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-415.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-415.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-415.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-417.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-417.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-417.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-418.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-418.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-418.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-420.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-421.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-421.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-421.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-424.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-424.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-424.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-425.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-425.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-425.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-426.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-426.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-426.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-427.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-427.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-427.png
Imgs/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-428.jpg,GT/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-428.png,Edge/COD10K-CAM-1-Aquatic-10-LeafySeaDragon-428.png
Imgs/COD10K-CAM-1-Aquatic-11-Octopus-431.jpg,GT/COD10K-CAM-1-Aquatic-11-Octopus-431.png,Edge/COD10K-CAM-1-Aquatic-11-Octopus-431.png
